Sorszam;Orszag;Cimlet;Evjarat;Allapot;Leiras;Ar;Statusz;Elolap;Hatlap
1;Németország;100 márka;1908;UNC;Több db. elérhető;3900.-Ft;elérhető;001_front.jpg;001_back.jpg
2;Magyarország;50 korona;1914;UNC;tökéletesen hajtatlan, felülbélyegzés nélkül! RITKA;44.900.-Ft;elérhető;002_front.jpg;002_back.jpg
3;Svédország;50 korona;1989;UNC;utolsó db.;5900.-Ft;elérhető;003_front.jpg;003_back.jpg
4;Németország;5 márka;1917;UNC;utolsó db.;2900.-Ft;elérhető;004_front.jpg;004_back.jpg
5;Franciaország;500 frank;1994;UNC;utolsó db.;12.900.-Ft;elérhető;005_front.jpg;005_back.jpg
6;Thaiföld;1 bath;1955;UNC;utolsó db.;3000.-Ft;elérhető;006_front.jpg;006_back.jpg
7;Ausztria;50 schilling;1970;UNC;utolsó db.;5.900.-Ft;elérhető;007_front.jpg;007_back.jpg
8;Laos;1 kip;1957;UNC;utolsó db.;7.900.-Ft;elérhető;008_front.jpg;008_back.jpg
9;Svédország;5 korona;1952;UNC;utolsó db.;4000.-Ft;elérhető;009_front.jpg;009_back.jpg
10;Svédország;1 korona ;1915;UNC;utolsó db.;16.900.-Ft;elérhető;010_front.jpg;010_back.jpg
11;Abházia;10 apsar;2024;UNC;utolsó db.;1750.-Ft;elérhető;011_front.jpg;011_back.jpg
12;Algéria;2000 frank;2011;UNC;utolsó db.;7900.-Ft;elérhető;012_front.jpg;012_back.jpg
13;Tunézia ;5 dinár;1980;UNC;utolsó db.;6500.-Ft;elérhető;013_front.jpg;013_back.jpg
14;Franciaország;5 frank;1966;UNC-;tűzőkapocs lyuk, ahogy nagyon sok példányon;16.900.-Ft;elérhető;014_front.jpg;014_back.jpg
15;Brazília;2 reais;2010;UNC;Több db. elérhető;350.-Ft;elérhető;015_front.jpg;015_back.jpg
16;Brazília;10 reais;2010;UNC;utolsó db.;1000.-Ft;elérhető;016_front.jpg;016_back.jpg
17;Malaya;10 cent;1941;UNC;Ritka;18.900.-Ft;elérhető;017_front.jpg;017_back.jpg
18;Franciaország;50 frank;1981;nagyon szép;hajtott;2900.-Ft;elérhető;018_front.jpg;018_back.jpg
19;Egyiptom;100 font;1992;UNC;utolsó db.;9900.-Ft;elérhető;019_front.jpg;019_back.jpg
20;Románia;1000 lei;1998;UNC;Több db. elérhető;1000.-Ft;elérhető;020_front.jpg;020_back.jpg
21;Ausztria;100 schilling;1949;nagyon szép;Ritka;25.900.-Ft;elérhető;021_front.jpg;021_back.jpg
22;Ausztria;100 schilling;1953;UNC;Több db. elérhető;6900.-Ft;elérhető;022_front.jpg;022_back.jpg
23;Ausztria;1000 schilling;1961;nagyon szép;Ritka;28.000.-Ft;elérhető;023_front.jpg;023_back.jpg
